## Traced by TaniTracer at Sat Nov 11 17:35:47 2023 for 220830-E6_Out.czi
#   total_planes = 9; width = 512; height = 512
#   laplace = 1.800000; min_distance = 1; threshold_abs = 0.014000
#   max_diameter = 10.000000; dup_threshold = 3.000000
#   image_clip_min = 10000.000000; image_clip_max = 12924.857000
## Chased by TaniChaser at Sat Nov 11 17:35:47 2023
#   chase_distance = 3.000000
total_index	plane	index	x	y	diameter	intensity	fit_error	chi_square	distance	life_index	life_total
10	1	75	465.8148521184921	165.14099030196667	4.225416	12628	0.011530797	0.0038146116	0.9160093217727396	1	4
10	2	16	465.6059476137161	165.84068748354912	3.7158566	13139	0.0017299216	0.0006211585	0.7302172539937217	2	4
10	3	120	464.3714348077774	165.74000790715218	4.949215	12750	0.036875647	0.012309218	1.2386114181332906	3	4
11	0	11	195.99875174672343	139.7662768214941	3.6690218	12382	0.00096206286	0.00036823747	0.0	0	9
11	1	0	196.05246745049953	140.20479941368103	3.4483426	13124	0.02082639	0.008602613	0.4418002271281727	1	9
11	2	22	197.02325418405235	140.6321347951889	4.117822	12317	0.023187755	0.008263847	1.060680164012989	2	9
11	3	2	197.7472921013832	140.86850886046886	3.6913278	12917	0.11319104	0.042932235	0.7616453272158806	3	9
11	4	41	195.78552256524563	140.69902908802032	3.7684236	11863	0.014426012	0.0046583237	1.969076714144644	4	9
11	5	29	196.1223717778921	139.99244442069903	3.5355387	11883	0.007699255	0.0026144572	0.7827702626914879	5	9
11	6	304	195.70816859602928	140.48045325279236	3.7058535	11364	0.0071236384	0.0020274462	0.640091318536963	6	9
11	7	74	194.90463258326054	139.2532663345337	3.849031	11786	0.012104007	0.0037027984	1.4668530451826105	7	9
11	8	62	195.8965188190341	141.8628378212452	4.2881274	11854	0.13914114	0.043223552	2.791720195323079	8	9
12	0	12	259.75447158515453	274.68405041098595	4.330362	12794	0.0615763	0.02288616	0.0	0	4
12	1	1	260.07690047472715	275.39647537469864	4.0539637	13506	0.001331773	0.00055329833	0.7819908680745984	1	4
12	2	2	259.4695488214493	274.96887708082795	3.757703	13284	0.007866713	0.0030410597	0.7427760979329434	2	4
12	3	0	259.17488627135754	275.3973081409931	3.6908014	13144	0.004648061	0.0018001595	0.5199799916735431	3	4
13	0	13	471.96028612181544	169.44112464785576	3.572306	12357	0.004035356	0.0014608679	0.0	0	9
13	1	197	470.897958137095	170.87608197331429	4.851407	11631	0.033880055	0.010429346	1.7853972311525914	1	9
13	2	85	470.7083785831928	169.95158308371902	3.6703167	12010	0.00804864	0.0025341022	0.9437365120205031	2	9
13	3	90	470.1307825744152	171.49167439341545	3.7131763	12177	0.0010463104	0.000339259	1.6448399288557893	3	9
13	4	163	468.7751285880804	173.78229746222496	3.5209513	11393	0.04126673	0.011755421	2.661719702378094	4	9
13	5	50	468.1907617151737	173.69341805577278	3.2852159	11760	0.031009743	0.009704102	0.5910872956188699	5	9
13	6	9	467.01626474037766	174.6580163538456	3.373068	11938	0.003868825	0.0013331516	1.5198332212614845	6	9
13	7	102	466.0073687671684	174.43644562363625	4.5667205	11630	0.028747067	0.00873317	1.0329398207269525	7	9
13	8	31	465.07231409847736	174.4696288704872	3.847254	11957	0.024719976	0.008287432	0.9356432874297904	8	9
14	0	14	285.1977850496769	192.5959355533123	3.7172003	12649	0.03251977	0.012021381	0.0	0	3
14	1	97	284.296025544405	192.8438945710659	3.938314	12212	0.0082578715	0.0027136197	0.9352293193829915	1	3
14	2	47	285.91665467619896	192.71904549002647	3.6451795	12701	0.04146388	0.013769437	1.6254310430946266	2	3
15	0	15	217.56753531098366	237.3192074894905	3.6348898	12722	0.0021803551	0.000816363	0.0	0	4
15	1	53	216.32308277487755	239.95198621228337	3.2145746	12255	0.0031745208	0.0010669891	2.9120758777565796	1	4
15	2	135	216.7532456368208	237.4255694746971	3.3488996	12184	0.0057451883	0.0018397031	2.5627761548272616	2	4
15	3	61	216.74649822711945	237.81153866648674	4.5392156	12310	0.020332819	0.0068839714	0.38602816548590824	3	4
16	0	16	147.5807168483734	497.7629638314247	4.96121	12595	0.003854892	0.0015067556	0.0	0	5
16	1	57	147.34517288208008	498.1587761491537	3.741189	12227	0.061969917	0.02079875	0.4605956479638031	1	5
16	2	64	147.25696364045143	498.50631180405617	3.9646244	12183	0.008121063	0.0027160572	0.3585552980185644	2	5
16	3	129	148.15647648274899	495.6614498794079	4.3219185	12125	0.008455306	0.0028166045	2.983682745161048	3	5
16	4	201	147.35191169381142	496.44815304875374	3.5220125	11635	0.00016799754	4.9281818e-05	1.1252672465938784	4	5
17	0	17	307.7842812240124	502.5954021215439	3.380217	12102	0.006852325	0.0024226082	0.0	0	9
17	1	138	307.53998267650604	503.82580810785294	3.752363	11513	0.0011583201	0.00036179766	1.2544244383217562	1	9
17	2	86	307.6298720538616	502.8252453356981	3.4611113	11531	0.0059904344	0.0019327495	1.0045924353604736	2	9
17	3	41	307.40206357836723	503.4834380745888	3.0899184	11778	0.024825944	0.0080190515	0.6965015312513306	3	9
17	4	455	306.84897650778294	504.394846200943	4.4263477	10874	0.009711208	0.0025368764	1.0661004082318066	4	9
17	5	35	305.97162324376404	504.46624222397804	3.6396108	11488	0.0034187944	0.0011307553	0.880253453267766	5	9
17	6	42	306.05530608817935	504.22804486751556	3.2230883	11560	0.021004438	0.0066324277	0.25246940225530223	6	9
17	7	239	306.2720519900322	504.5503290593624	3.6209846	11013	0.006437797	0.0017908642	0.38838883388220524	7	9
17	8	61	306.9353542998433	504.7186452448368	3.5950174	11479	0.00054732885	0.00017413571	0.684324698146583	8	9
18	0	18	124.04959138482809	486.6176383793354	3.7610917	12903	0.08136657	0.029606922	0.0	0	9
18	1	34	124.02737448364496	486.6123132109642	3.7304904	12486	0.008980657	0.0031220876	0.02284618384681619	1	9
18	2	6	124.26450806856155	487.1042862907052	3.960033	12938	0.006087555	0.0022939132	0.5461408685359848	2	9
18	3	38	123.99949612643104	486.8138239681721	3.5218732	12866	0.0010917144	0.00038483628	0.39319167117720977	3	9
18	4	81	123.80261635780334	485.56437933444977	8.907835	12547	0.050149806	0.015981462	1.2648610738070647	4	9
18	5	22	123.67837676405907	487.51069009304047	3.5564265	12691	0.012879358	0.0042326986	1.9502720440132557	5	9
18	6	4	122.82916368544102	487.8962518721819	3.691738	13020	0.007805404	0.0027829274	0.9326418060706091	6	9
18	7	2	123.1973865032196	488.07636576890945	3.820252	13193	0.0077184443	0.0027360725	0.40991347785500976	7	9
18	8	43	121.92330498993397	486.72311076521873	4.969655	12895	0.004185542	0.0014497807	1.8586508030047462	8	9
19	0	19	424.7685040831566	145.5939626097679	3.4680774	12634	0.049016554	0.017519282	0.0	0	9
19	1	194	424.3713011443615	145.07019452005625	3.76451	12021	0.0557587	0.016772473	0.6573455608640434	1	9
19	2	21	423.05170030891895	146.4928598701954	3.6989324	12364	0.010773417	0.0037240167	1.9404440376849785	2	9
19	3	81	423.7206092476845	146.14556789398193	3.9730413	12064	0.0042630127	0.0014177398	0.7536915052610511	3	9
19	4	216	423.22659362852573	148.29602479934692	4.3196282	11450	0.003945814	0.0011340082	2.206471466800504	4	9
